index,OCC_COMPL,LAST_N,FIRST_N,PER_GRP,PER_COMPL,LOC_PAR,LOC_STR,NUM,LOC_COMPL,NORM_PARISH,DISTRICT,geometry,geometry_from,profession,profession_eng,category,category_eng,PAGE_NUM
3244,,Tonini,"Giuseppe,",,,s. Marco,ponte dei baretteri,719,,marco,San Marco,POINT (12.33767775556551 45.4361020047848),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3245,,Tornago; Pellanda," Maria,",,,s. Salvatore,merceria stretta,4350,,salvador,San Marco,POINT (12.335046693471945 45.434962411476846),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,243
3246,,Trabucco,"Adelaide,",,,s. M. Gloriosa dei Frari,campo s. Toma,2818,,maria gloriosa dei frari,San Polo,POINT (12.327786070603842 45.436179322687714),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,244
3247,,Turolla; Zennaro," Antonia,",,,s. Francesco,calle fontico,2842,,francesco,Castello,POINT (12.34626084015344 45.43777052659541),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,244
3248,,Verocai,"Giuseppe,",,,s. Luca,calle del spezier,3634,,luca,San Marco,POINT (12.332593370512429 45.43468383290606),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,244
3249,,Vianello,"Catterina,",,,s. Pantaleone,calle del spezier,3739,,pantalon,Dorsoduro,POINT (12.325031367196683 45.43560583788294),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,244
3250,,Vianello,"Teresa,",,,s. Geremia,calleselle,1470,,geremia,Cannaregio,POINT (12.328092928343303 45.44541679431617),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,244
3251,,Vigevano,"Samuéle,",,,s. Salvatore,a s. Bartolammeo,5320,,salvador,San Marco,POINT (12.33628962046375 45.437894338304076),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,244
3252,,Violin,"Marc’; Antonio,",,,s. Gio. in Bragora,ponte storto,3867,,giovanni in bragora,Castello,POINT (12.348434656237574 45.434928734574484),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,244
3253,,Visinoni,"Leonardo,",,,s. M. Gloriosa dei Frari,campo s. Polo,2011,,maria gloriosa dei frari,San Polo,POINT (12.330140162540971 45.43717753317057),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,244
3254,,Vistosi,"Antonio,",,,s..Gio. in Bragora,riva degli Schiavonj,4115,,giovanni in bragora,Castello,POINT (12.347572350715929 45.43374799638338),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,244
3255,,Zamara,"Elisabetta,",,,s. Pietro,via nuova,1741,,pietro,Castello,POINT (12.352061059491446 45.43225897859938),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,244
3256,,Zambelli,"Giuseppe,",,,ss: Apostoli,campo,4545,,apostoli,Cannaregio,POINT (12.33645018507398 45.4406978853505),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,244
3257,,Zane,"Carlo,",,rapp. da Giuseppina Morosini vedova Zane,s. Silvestro,campiello dei meloni,1343,,silvestro,San Polo,POINT (12.33170836597086 45.437450734550104),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,244
3258,,Zanetti,"Teresa,",,,s. Pietro,fond. s. Anna,1131,,pietro,Castello,POINT (12.355800207797355 45.43245751841655),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,244
3259,,Zanini,"Virginia,",,,ss. Apostoli,calle del spezier,4796,,apostoli,Cannaregio,POINT (12.337798447188609 45.44193339111739),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,244
3260,,Zukermann,"Maurizio,",,,s. Marco,calle larga,383,,marco,San Marco,POINT (12.340215157453082 45.43540709082737),contemporary,"manifatture ad ago e maglia, nastri, refe, fettuccie ed altri articoli(venditori di)","needle and knitting manufactories, ribbons, cloth webbing",Filiera del tessuto,Fabric supply chain,244
3261,,Cristofolie,"Comp.,",,"rapp. da Antonio Cristofoli,",s. Marco,calle dei fabbri,906,,marco,San Marco,POINT (12.337241401063348 45.43496936231535),cadaster,"marmi naturali, ed artificiali (",natural and artificial marbles,Vendita di materia prima,Raw material sales,244
3262,neg.,De Rossi,"Gaspare,",,,s. Simeone Prof.,rio Marin,814,,simeon profeta,Santa Croce,POINT (12.32499162277781 45.43888947020535),contemporary,"marmi naturali, ed artificiali (",natural and artificial marbles,Vendita di materia prima,Raw material sales,244
3263,,Gavagnin; Busetto,Sebastiano; Angelo; Comp.,,,s. M. del Rosario,rioterra Catecumeni,90,,madonna del rosario,Dorsoduro,POINT (12.333970226618497 45.42914410390312),contemporary,"marmi naturali, ed artificiali (",natural and artificial marbles,Vendita di materia prima,Raw material sales,244
3264,,Fannio,"Domenico,",,eredi fu,s. Salvatore,merceria,5021,,salvador,San Marco,POINT (12.336914954211716 45.43681004819129),contemporary,maschere,masks,Articoli per divertimento,Entertainment articles,244
3265,"fabb. pi volte premiata,",Palatini,"Serafino,",,,s. M. Formosa,calle delle Vele s. Lio,5667,,maria formosa,Castello,POINT (12.338929412832258 45.43766429707607),contemporary,maschere,masks,Articoli per divertimento,Entertainment articles,244
3266,,Massari,"Vincenzo,",,,ss. Gio. e Paolo,calle della testa,5318,,giovanni e paolo,Castello,POINT (12.33969855815148 45.436219362946616),contemporary,maschere,masks,Articoli per divertimento,Entertainment articles,244
3267,,Rossi,"Gaetano,",,,s. M. Gloriosa dei Frari,calle dell’ olio,2410,,maria gloriosa dei frari,San Polo,POINT (12.32640109008275 45.43834512048199),contemporary,maschere,masks,Articoli per divertimento,Entertainment articles,244
3268,,Cavaldoro,"Giacomo,",,,s. Cassiano,calle dei botteri,1562,,cassiano,Santa Croce,POINT (12.328016492067501 45.43934408093974),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3269,,Clinet,"Gio.; Battista,",,,s. Simeone Prof.,lista vecchia Bari,1275,,simeon profeta,Santa Croce,POINT (12.326354019957645 45.441302762691706),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3270,,Condio,"Gio.; Battista,",,,s. Simeone Prof. ,fond. rio Marin,810,,simeon profeta,Santa Croce,POINT (12.324632474941527 45.43884927583209),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3271,,Cordella,"Gio.Battista,",,,s. M. del Rosario,fond. Venier,734,,madonna del rosario,Dorsoduro,POINT (12.329605029849649 45.43055604628398),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3272,,D’ Ambros,"Fortunato,",,,s. M. Formosa,salizz. s. Lio,5726,,maria formosa,Castello,POINT (12.339264316333887 45.4372924530695),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3273,,Da Ponte,"Giuseppe,",,,s. M. Formosa,salizz. s. Lio,5575,,maria formosa,Castello,POINT (12.3383986292904 45.4374723259936),interpolation,materassaj,mattress makers,Articoli per la casa,Household items,245
3274,,Dariff,"Antonio,",,,s. Martino,calle della comare,2648,,martino,Castello,POINT (12.347815802939595 45.435759392958865),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3275,,De Foch,"Martino,",,,s. Zaccaria,campo ss. Filippo e Giac.,4335,,zaccaria,Castello,POINT (12.34305571224619 45.435944764091666),cadaster,materassaj,mattress makers,Articoli per la casa,Household items,245
3276,,Franchi; Palazzi," Elisa,",,,s. M. Formosa,salizz. s. Lio,5573,,maria formosa,Castello,POINT (12.338488729468889 45.437449319925605),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3277,,Marzio,"Gaetano,",,,s. Pietro,via nuova,1767,,pietro,Castello,POINT (12.352423240309443 45.4322887288222),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3278,,Perego,"Alessandro,",,,s. Marco,spaderia,689,,marco,San Marco,POINT (12.33895392136613 45.43533132435985),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3279,,Prior,"Luigi,",,,s. Salvatore,calle della Bissa,5406,,salvador,San Marco,POINT (12.337187966450701 45.438048076374685),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3280,,Ravizza,"Antonio,",,,s. Gio. in Bragora,salizzada s. Antonin,3477,,giovanni in bragora,Castello,POINT (12.346444160230934 45.4354340391121),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3281,,Ricordini,"Domenico,",,,s. Canciano,salizz. s. Gio. Grisostomo,5781,,canciano,Cannaregio,POINT (12.337023371132487 45.43866327232491),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3282,,Sala,"Pietro,",,,s. Luca,calle dei Fuseri,4371,,luca,San Marco,POINT (12.335301354091108 45.43501798223174),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3283,,Samo,"Filippo,",,,s. Felice,calle della Chiesa,4187,,felice,Cannaregio,POINT (12.334859033249858 45.44164232146079),cadaster,materassaj,mattress makers,Articoli per la casa,Household items,245
3284,lav.,MOBILI.; Acerbi," Gio.; Batta,",,,s. Gio. in Bragora,calle dell’ arco,3507,,giovanni in bragora,Castello,POINT (12.34694246071658 45.435428762106135),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3285,lav.,Acqua,"Giovanni,",,,s. Simeone Prof.,fond. rio Marin,780,,simeon profeta,Santa Croce,POINT (12.324759915189043 45.439652035618536),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3286,lav.,Andreotta,Giuseppe,,,s. M. Glor dei Frari,campo s. Toma,2849,,maria gloriosa dei frari,San Polo,POINT (12.327278952468241 45.43618644169658),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3287,fabb.,Bagnoli,"Camillo,",,,s. M. del Giglio,calle del fruttarol,1831,,maria del giglio,San Marco,POINT (12.33465290486614 45.434182286437384),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3288,lay.,Bagnoli.,"Francesco,",,,s. Francesco,corte della vida,3042,,francesco,Castello,POINT (12.348006505878775 45.436993885624666),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3289,lav.,Baldan,"Domenico,",,,s. Pietro,strada nuova dei giardini,1625,,pietro,Castello,POINT (12.35171338599931 45.43204038854486),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3290,lav.,Barasciutti,"Antonio,",,,s. M. del Carmine,"ponte s, Barn.",2806,,maria dei carmini,Dorsoduro,POINT (12.325259690668817 45.433211159488884),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3291,lav.,Beggio,"Antonio,",,,s. Luca,calle Memmo o Loredan,4145,,luca,San Marco,POINT (12.334503696280851 45.4359916137259),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3292,lav.,Benedetti,"Francesco,",,,s. Zaccaria,"campo s, Severo",5018,,zaccaria,Castello,POINT (12.343452465601706 45.436044040652874),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3293,lav.,Bernardini,"Antonio,",,,ss. Apostoli,"calle Boldt,",4995,,apostoli,Cannaregio,POINT (12.336424564760803 45.4440622238654),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3294,vend.,Bertapelle,"Angelo,",,,s. Cassiano,campo s. M. Mater Domini,2171,,cassiano,Santa Croce,POINT (12.330298118698114 45.43971013732211),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3295,lav.,Biadene,"Marco,",,,s. Zaccaria,calle larga,5129,,zaccaria,Castello,POINT (12.343156439050272 45.437289407736095),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3296,lav.,Biasiutti,"Francesco,",,,ss. Ermagora e Fort.,rio terra,2059,,ermargora e fortunato,Cannaregio,POINT (12.330304482344077 45.44353788842131),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3297,lav.,Borella,"Antonio,",,,s. Silvestro,sottop. dei sbianchesini,1158,,silvestro,San Polo,POINT (12.33245361180845 45.437624561697405),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3298,lav.,Bozzoli,"Enrico,",,,s. Silvestro,calle larga Donzella,978,,silvestro,San Polo,POINT (12.333281132258948 45.43823062064362),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3299,lav.,Brunello,"Giovanni,",,,s. Silvestro,calle del Paradiso,714,,silvestro,San Polo,POINT (12.334071646101387 45.43771521905734),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3300,lav.,Brussa,"Giuseppe,",,,s. Zaccaria,calle corte rotta,4727,,zaccaria,Castello,POINT (12.342760823586001 45.43573777837956),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,245
3301,lav.,Busetto,"Pietro,",,,s. Silvestro,sottop. Galizzi,1022,,silvestro,San Polo,POINT (12.333358563447943 45.437742002349474),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,246
3302,fabb.,Carnera,"Antonio,",,,ss. Gio. e Paolo,calle Bressana,6317,,giovanni e paolo,Castello,POINT (12.341634450425307 45.43852880988695),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,246
3303,lav.,Carraro,"Giovanni,",,,s. Zaccaria,calle della Sacrestia,4491,,zaccaria,Castello,POINT (12.342079884749534 45.43551593854106),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,246
3304,vend.,Cattaneo,"Pietro,",,,s. Zaccaria,calle Piasentini,4391,,zaccaria,Castello,POINT (12.340841058693956 45.43565583461125),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,246
3305,vend.,Cocchietto,"Gio.; Batta,",,,s. M. Gloriosa,in campo,2998,,maria gloriosa dei frari,San Polo,POINT (12.327202741830032 45.43694774062847),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,246
3306,negoz.,Colnago,"Giovanni,",,,s. Marco,frezzaria,1230,,marco,San Marco,POINT (12.336462903929613 45.43382887287307),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,246
3307,lay.,Dal Bianco,"Paolo,",,,s. Simeone Prof.,ramo I. Gallion,1121,,simeon profeta,Santa Croce,POINT (12.325536517264414 45.44049169972148),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,246
3308,fabb.,De Cassai,"Gio.; Mfria,",,,ss. Gio. e Paolo,calle del forno,6397,,giovanni e paolo,Castello,POINT (12.342824983893717 45.438466414941736),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,246
3309,lav.,De Nati,"Angelo,",,,s. Canciano,calle del volto,5297,,canciano,Cannaregio,POINT (12.340289701081515 45.44168784789253),contemporary,materassaj,mattress makers,Articoli per la casa,Household items,246
